ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-07-01,16650,16.3,74.8,78.1,73.4,7.8,0,Monday,7
2013-07-02,22745,16,76.1,82.9,73,8.0,0.73,Tuesday,7
2013-07-03,21864,16.2,78.5,84.9,73.9,8.8,0.06,Wednesday,7
2013-07-04,22326,21.2,82,91,73.9,8.6,0.96,Thursday,7
2013-07-05,21842,18,84.4,93,75.9,9.0,0,Friday,7
2013-07-06,20467,19.3,87,95,77,9.3,0,Saturday,7
2013-07-07,20477,18.6,88.8,98.1,79,8.8,0,Sunday,7
2013-07-08,21615,21.5,83.7,98.1,75,8.9,0,Monday,7
2013-07-09,26641,16.1,82.6,91,75,6.0,0,Tuesday,7
2013-07-10,25732,15.5,82,91,75,8.7,0.08,Wednesday,7
2013-07-11,24417,16.8,82.3,91,75,7.6,0.02,Thursday,7
2013-07-12,19006,15.6,75.4,86,72,9.1,0,Friday,7
2013-07-13,26119,18.6,71.4,78.1,68,10.5,0.23,Saturday,7
2013-07-14,29287,19.4,80.2,93.9,69.1,6.0,0.01,Sunday,7
2013-07-15,28069,15.3,87.2,93.9,72,7.8,0,Monday,7
2013-07-16,29842,15.1,86.5,93.9,79,7.9,0,Tuesday,7
2013-07-17,30550,14.7,87.4,97,78.1,4.0,0,Wednesday,7
2013-07-18,28869,14.4,89.3,100,78.1,6.3,0,Thursday,7
2013-07-19,26591,14.7,92.5,100,82.9,8.9,0,Friday,7
2013-07-20,25278,17.9,89.2,100,82.9,11.3,0,Saturday,7
2013-07-21,30297,18.7,82.2,95,77,7.6,0,Sunday,7
2013-07-22,25979,14.7,77.1,87.1,75,8.3,0,Monday,7
2013-07-23,32376,15.7,80,91,75,7.4,0.58,Tuesday,7
2013-07-24,35271,15.6,79.9,91,75,7.8,0.31,Wednesday,7
2013-07-25,31084,14.9,68,82.9,64,11.7,0,Thursday,7
2013-07-26,34534,15.7,71.5,84,64,8.6,0.02,Friday,7
2013-07-27,32470,18.9,76.9,84,64.9,8.5,0,Saturday,7
2013-07-28,23508,17.5,74.8,84,71.1,7.6,0,Sunday,7
2013-07-29,34915,15.7,77.3,89.1,71.1,5.7,0.13,Monday,7
2013-07-30,37334,15.8,75.9,89.1,70,8.7,0,Tuesday,7
2013-07-31,37261,15.4,76.1,82,70,6.2,0,Wednesday,7
2013-08-01,20138,13.4,73.5,82,69.1,7.6,0,Thursday,8
2013-08-02,35792,16.1,75.5,86,69.1,7.3,0.5,Friday,8
2013-08-03,29540,18.5,76.4,86,70,8.1,0,Saturday,8
2013-08-04,35253,19.7,74.6,81,70,8.7,0.01,Sunday,8
2013-08-05,36776,16.1,71.5,81,64,9.4,0,Monday,8
2013-08-06,37702,16.2,73.9,82,64,6.3,0,Tuesday,8
2013-08-07,34396,14.7,74.4,82,66.9,9.5,0,Wednesday,8
2013-08-08,28366,14.3,75,82,71.1,9.1,0.16,Thursday,8
2013-08-09,29017,15.1,78.2,89.1,71.1,9.2,0.08,Friday,8
2013-08-10,37201,20.4,78.3,89.1,72,8.9,0.04,Saturday,8
2013-08-11,33060,19.4,74.8,84,66.9,5.7,0,Sunday,8
2013-08-12,31457,15.3,74.8,82,66.9,5.5,0.09,Monday,8
2013-08-13,22437,15.6,74,82,70,5.3,0.01,Tuesday,8
2013-08-14,38150,15.6,69.5,78.1,62.1,12.4,0.73,Wednesday,8
2013-08-15,37386,15.3,69.8,78.1,62.1,8.2,0,Thursday,8
2013-08-16,35991,16.4,72.6,81,63,3.7,0,Friday,8
2013-08-17,37285,20.1,73.6,81,66.9,5.2,0,Saturday,8
2013-08-18,27612,16.9,72.5,81,68,5.2,0,Sunday,8
2013-08-19,33127,14.9,73.5,80.1,68,5.5,0,Monday,8
2013-08-20,35843,15,77.5,89.1,68,4.5,0,Tuesday,8
2013-08-21,36315,15.1,81.1,90,70,4.5,0,Wednesday,8
2013-08-22,26629,14.4,77.5,90,73,5.8,0,Thursday,8
2013-08-23,33503,15.7,76.2,81,72,9.0,0.24,Friday,8
2013-08-24,32941,18.1,71.5,81,64,8.9,0,Saturday,8
2013-08-25,31755,19.1,73.8,82.9,64,4.8,0,Sunday,8
2013-08-26,29979,15.5,75.3,84,66.9,9.1,0,Monday,8
2013-08-27,34208,15.1,78.3,86,70,10.6,0.01,Tuesday,8
2013-08-28,28185,14.2,78,86,73,3.2,0.1,Wednesday,8
2013-08-29,34215,14.3,74.6,84.9,71.1,7.3,0,Thursday,8
2013-08-30,32318,15.4,75.4,86,69.1,7.4,0,Friday,8
2013-08-31,25381,17.9,78.5,86,69.1,8.8,0,Saturday,8
2013-09-01,25235,18.4,79.6,86,73,8.0,0,Sunday,9
2013-09-02,21416,16.9,76.9,80.6,71.6,4.8,0,Monday,9
2013-09-03,32411,14.4,76.2,82,72,6.7,0.99,Tuesday,9
2013-09-04,36798,15.1,73.3,82,66,10.4,0.09,Wednesday,9
2013-09-05,35825,14.6,74.3,82,66,9.3,0,Thursday,9
2013-09-06,35868,14.8,64.8,77,57,7.5,0,Friday,9
2013-09-07,34419,17.4,68.3,79,57,6.5,0,Saturday,9
2013-09-08,33196,17.1,73.9,80.1,61,8.7,0,Sunday,9
2013-09-09,35394,15.3,65.9,80.1,57.9,7.7,0,Monday,9
2013-09-10,36954,14.5,74.8,88,57.9,8.8,0,Tuesday,9
2013-09-11,35812,14,83.6,93.9,69.1,7.5,0,Wednesday,9
2013-09-12,31252,13.7,80.6,88,71.1,8.4,0,Thursday,9
2013-09-13,36501,14.7,71.3,86,68,9.4,1.3,Friday,9
2013-09-14,31607,16.7,61.6,77,55.9,10.8,0.03,Saturday,9
2013-09-15,31914,17.3,61.5,73,54,6.9,0,Sunday,9
2013-09-16,31287,13.8,65.8,73,54,6.9,0,Monday,9
2013-09-17,38283,13.9,58.2,72,48.9,10.1,0.02,Tuesday,9
2013-09-18,37957,13.9,61.8,71.1,48.9,5.0,0,Wednesday,9
2013-09-19,39200,14.1,65,77,55,5.4,0,Thursday,9
2013-09-20,39382,14.8,68.1,78.1,57,5.8,0,Friday,9
2013-09-21,31826,17,67.4,78.1,61,9.4,0,Saturday,9
2013-09-22,29758,16.5,66.3,75.9,61,12.9,0.98,Sunday,9
2013-09-23,35152,13.9,58.5,68,52,10.6,0.53,Monday,9
2013-09-24,38417,13.8,59.1,73,50,8.0,0,Tuesday,9
2013-09-25,38223,14,64.1,73,50,5.4,0,Wednesday,9
2013-09-26,38189,13.8,63.9,72,55,6.2,0,Thursday,9
2013-09-27,37412,14.2,61.5,69.1,57,6.4,0,Friday,9
2013-09-28,34931,17,64.4,73,57,7.3,0,Saturday,9
2013-09-29,32592,16.5,64.6,73,57.9,4.9,0,Sunday,9
2013-09-30,37148,13.7,63.9,73,57.9,4.1,0,Monday,9
2013-10-01,40575,13.7,68.9,81,57.9,5.5,0,Tuesday,10
2013-10-02,41383,13.9,73.9,84,62.1,6.0,0,Wednesday,10
2013-10-03,40456,13.7,72.6,84,64.9,4.3,0,Thursday,10
2013-10-04,40195,14.7,74,86,64.9,4.9,0,Friday,10
2013-10-05,34181,16.8,68.3,86,64,6.7,0.03,Saturday,10
2013-10-06,26574,14.7,66.5,73,64,7.6,0.01,Sunday,10
2013-10-07,25016,12.7,70.7,77,64,11.8,0.33,Monday,10
2013-10-08,38365,13.8,61.6,77,55.9,10.2,0,Tuesday,10
2013-10-09,36969,12.8,59.7,66,54,12.3,0,Wednesday,10
2013-10-10,31171,12.4,59.1,66,54,13.2,0,Thursday,10
2013-10-11,33357,13.3,63.7,69.1,54,16.4,0,Friday,10
2013-10-12,32457,16.9,65.7,72,60.1,15.5,0,Saturday,10
2013-10-13,28832,16,60.9,72,57,15.0,0,Sunday,10
2013-10-14,33018,13.9,58,64.9,53.1,6.6,0,Monday,10
2013-10-15,37534,13.5,60.4,70,53.1,4.7,0,Tuesday,10
2013-10-16,36911,13.3,60.1,70,55.9,5.6,0,Wednesday,10
2013-10-17,36888,13.4,64.7,73,57,6.7,0,Thursday,10
2013-10-18,38122,13.9,64.2,73,57.9,11.5,0.01,Friday,10
